     X (m)          Y (m)        Depth (m)
     78.2887       88.1289      -37.6311 
     82.3292       88.1692      -37.6156 
     88.2760       88.1805      -37.7987 
     10.2448       90.1415      -38.0815 
     12.2456       90.1582      -37.9704 
     14.2604       90.1515      -37.8842 
     18.2495       90.1035      -37.7859 
     36.2094       90.0408      -38.3272 
     38.2516       90.1572      -38.2993 
     42.2655       90.1121      -38.2133 
     48.2919       90.1756      -38.0985 
     50.2335       90.1682      -38.0796 
     54.3168       90.1894      -37.9960 
     56.2810       90.1406      -37.9127 
     58.2717       90.1175      -37.8257 
     60.2435       90.1648      -37.7064 
     70.2207       90.1880      -37.4563 
     74.2850       90.1913      -37.4652 
     76.3108       90.1952      -37.3963 
     84.1952       90.2075      -37.4792 
     86.2049       90.1314      -37.5457 
     88.2519       90.1764      -37.5527 
     90.3006       90.1408      -37.4707 
     14.2581       10.1383      -38.5915 
     18.3430       10.2594      -38.4928 
     44.2453       10.1105      -39.1373 
     48.2797       10.0951      -39.3063 
     52.2885       10.1865      -39.3014 
     58.2309       10.2474      -39.2387 
     60.3353       10.2083      -39.2732 
     62.2263       10.0573      -39.2890 
     64.2141       10.1518      -39.2600 
     74.2905       10.1643      -39.1353 
     76.3295       10.0881      -39.2387 
     78.1635       10.0029      -39.2893 
     84.3266       10.2285      -39.3365 
     12.2540       11.9883      -38.5086 
     46.2675       12.0857      -39.2475 
     48.2786       12.1114      -39.2525 
     50.2488       12.1250      -39.2270 
     52.2067       12.1345      -39.2110 
     54.2674       12.1333      -39.2241 
     58.2726       12.0802      -39.2592 
     62.2182       12.0864      -39.2398 
     64.2984       12.1034      -39.1907 
     68.3164       12.1215      -39.1161 
     70.2692       12.1350      -39.1427 
     80.2237       12.1004      -39.2950 
     84.2139       12.1366      -39.3007 
     86.3269       12.2312      -39.2122 
     88.3392       12.2038      -39.1952 
     34.2200       14.1723      -39.0592 
     40.2424       14.1154      -39.0552 
     42.2663       14.1275      -39.0385 
     48.2558       14.1594      -39.1485 
     50.2100       14.1864      -39.0980 
     62.2306       14.0804      -39.0888 
     72.2724       14.1107      -38.8920 
     76.2646       14.1340      -39.0348 
     80.2557       14.1799      -39.1300 
     28.2610       16.1575      -39.1473 
     36.3168       16.1404      -38.9519 
     38.2644       16.1422      -38.9540 
     54.2475       16.1609      -38.9217 
     58.2675       16.1805      -38.9134 
     62.2646       16.1843      -38.9124 
     70.2852       16.1592      -38.8186 
     78.2486       16.1422      -38.8837 
     90.2547       16.1645      -38.9070 
     16.2778       18.1640      -39.2054 
     18.2308       18.0884      -39.1769 
     20.2624       18.1051      -39.1020 
     40.2204       18.1480      -38.8782 
     46.2858       18.0605      -38.8649 
     54.2245       18.1417      -38.8291 
     76.3158       18.1357      -38.7171 
     24.2031       20.1452      -38.9573 
     48.2411       20.0696      -38.6168 
     56.2979       20.1340      -38.6211 
     70.2672       20.1319      -38.4569 
     44.3378       22.0917      -38.3829 
     50.2710       22.1799      -38.2700 
     52.2032       22.2088      -38.1861 
     36.2836       24.2045      -38.2647 
     88.3053       24.1684      -38.1181 
     18.2645       26.1627      -38.5091 
     46.2538       62.1064      -37.9716 
     42.3355       64.1690      -38.6786 
     44.2170       64.1183      -38.5757 
     46.2677       64.2082      -38.5825 
     48.3814       64.1276      -38.3623 
     52.2103       64.1640      -38.2083 
     54.2497       64.1905      -38.2211 
     58.3212       64.1612      -38.0594 
     64.2494       64.0663      -37.6764 
     64.2515       66.1462      -38.1445 
     66.2726       66.1620      -37.9716 
     22.2753       68.0485      -37.9200 
